A-01,성산로(금화터널),195489,195489
A-01-1,성산로(금화터널),195485.482617,195485.482617
A-02,사직로(사직터널),196756.776106,196756.776106
A-03,자하문로(자하문터널),197216.855046,197216.855046
A-04,대사관로(삼청터널),198648.893154,198648.893154
A-05,율곡로(안국역),198645.671347,198645.671347
A-06,창경궁로(서울여자대학교),199825.89671,199825.89671
A-07,대학로(한국방송통신대학교),200185.014636,200185.014636
A-08,종로(동묘앞역),201515.783975,201515.783975
A-09,퇴계로(신당역),201850.055284,201850.055284
A-10,동호로(장충체육관),200633.487975,200633.487975
A-11,장충단로(장충단공원),200410,200410
A-11-1,장충단로(장충단공원),200423,200423
A-12,퇴계로(회현역),197939.908023,197939.908023
A-13,세종대로(서울역),197727.33407,197727.33407
A-14,새문안로(서울역사박물관),197432.421007,197432.421007
A-15,종로(종로3가역),199240.067506,199240.067506
A-16,서소문로(시청역),197596.4694,197596.4694
A-17,세종대로(시청역2),197983.404032,197983.404032
A-18,을지로(을지로3가역),199025.306571,199025.306571
A-19,칠패로(숭례문),197579.482653,197579.482653
A-20,남산1호터널,200375.908853,200375.908853
A-21,남산2호터널,199098.824842,199098.824842
A-22,남산3호터널,198985.638133,198985.638133
A-23,소월로(회현역),197913,197913
A-24,소파로(숭의여자대학교),198564,198564
