ymd,hour,spot_num,spot_nm,x,y,io1,io2
20160125,1,B-01,도봉로(도봉산역),203959,203959,1515,1686
20160125,1,B-01,도봉로(도봉산역),203959,203959,9465,10390
20160125,1,B-01,도봉로(도봉산역),203959,203959,8905,8945
20160125,1,B-01,도봉로(도봉산역),203959,203959,7472,7696
20160126,1,B-01,도봉로(도봉산역),203959,203959,2146,2444
20160126,1,B-01,도봉로(도봉산역),203959,203959,9145,10165
20160126,1,B-01,도봉로(도봉산역),203959,203959,8895,8496
20160126,1,B-01,도봉로(도봉산역),203959,203959,7378,7735
20160127,1,B-01,도봉로(도봉산역),203959,203959,2317,2551
20160127,1,B-01,도봉로(도봉산역),203959,203959,9389,10848
20160127,1,B-01,도봉로(도봉산역),203959,203959,9524,8990
20160127,1,B-01,도봉로(도봉산역),203959,203959,7599,7974
20160128,1,B-01,도봉로(도봉산역),203959,203959,2380,2675
20160128,1,B-01,도봉로(도봉산역),203959,203959,9718,10781
20160128,1,B-01,도봉로(도봉산역),203959,203959,9499,9093
20160128,1,B-01,도봉로(도봉산역),203959,203959,7620,7856
20160129,1,B-01,도봉로(도봉산역),203959,203959,2522,2712
20160129,1,B-01,도봉로(도봉산역),203959,203959,9694,11107
20160129,1,B-01,도봉로(도봉산역),203959,203959,9612,8979
20160129,1,B-01,도봉로(도봉산역),203959,203959,8497,8490
20160130,1,B-01,도봉로(도봉산역),203959,203959,2866,3206
20160130,1,B-01,도봉로(도봉산역),203959,203959,8096,8834
20160130,1,B-01,도봉로(도봉산역),203959,203959,11647,10764
20160130,1,B-01,도봉로(도봉산역),203959,203959,7596,7258
20160201,1,B-01,도봉로(도봉산역),203959,203959,1808,1988
20160201,1,B-01,도봉로(도봉산역),203959,203959,9868,11298
20160201,1,B-01,도봉로(도봉산역),203959,203959,9407,9052
20160201,1,B-01,도봉로(도봉산역),203959,203959,7782,8009
20160202,1,B-01,도봉로(도봉산역),203959,203959,2304,2518
20160202,1,B-01,도봉로(도봉산역),203959,203959,9772,11171
20160202,1,B-01,도봉로(도봉산역),203959,203959,10090,9114
20160202,1,B-01,도봉로(도봉산역),203959,203959,7969,8270
20160203,1,B-01,도봉로(도봉산역),203959,203959,2400,2611
20160203,1,B-01,도봉로(도봉산역),203959,203959,9790,11243
20160203,1,B-01,도봉로(도봉산역),203959,203959,10089,9301
20160203,1,B-01,도봉로(도봉산역),203959,203959,8582,8387
20160204,1,B-01,도봉로(도봉산역),203959,203959,2420,2706
20160204,1,B-01,도봉로(도봉산역),203959,203959,10218,11795
20160204,1,B-01,도봉로(도봉산역),203959,203959,10641,9884
20160204,1,B-01,도봉로(도봉산역),203959,203959,8640,8646
20160205,1,B-01,도봉로(도봉산역),203959,203959,2453,2727
20160205,1,B-01,도봉로(도봉산역),203959,203959,10094,11496
20160205,1,B-01,도봉로(도봉산역),203959,203959,10788,10204
20160205,1,B-01,도봉로(도봉산역),203959,203959,9236,8930
20160206,1,B-01,도봉로(도봉산역),203959,203959,2696,3087
20160206,1,B-01,도봉로(도봉산역),203959,203959,7539,8155
20160206,1,B-01,도봉로(도봉산역),203959,203959,10650,10649
20160206,1,B-01,도봉로(도봉산역),203959,203959,6531,6683
20160207,1,B-01,도봉로(도봉산역),203959,203959,2091,2353
20160207,1,B-01,도봉로(도봉산역),203959,203959,6035,6263
20160207,1,B-01,도봉로(도봉산역),203959,203959,8844,9389
20160207,1,B-01,도봉로(도봉산역),203959,203959,4833,5376
20160208,1,B-01,도봉로(도봉산역),203959,203959,1404,1555
20160208,1,B-01,도봉로(도봉산역),203959,203959,8317,9541
20160208,1,B-01,도봉로(도봉산역),203959,203959,14819,15393
20160208,1,B-01,도봉로(도봉산역),203959,203959,6103,6708
20160209,1,B-01,도봉로(도봉산역),203959,203959,1450,1692
20160209,1,B-01,도봉로(도봉산역),203959,203959,4306,5397
20160209,1,B-01,도봉로(도봉산역),203959,203959,10943,9769
20160209,1,B-01,도봉로(도봉산역),203959,203959,6007,5636
20160210,1,B-01,도봉로(도봉산역),203959,203959,1931,2201
20160210,1,B-01,도봉로(도봉산역),203959,203959,5248,6126
20160210,1,B-01,도봉로(도봉산역),203959,203959,9355,9090
20160210,1,B-01,도봉로(도봉산역),203959,203959,5604,5390
20160211,1,B-01,도봉로(도봉산역),203959,203959,1497,1807
20160211,1,B-01,도봉로(도봉산역),203959,203959,9079,10420
20160211,1,B-01,도봉로(도봉산역),203959,203959,8783,8418
20160211,1,B-01,도봉로(도봉산역),203959,203959,7443,7455
20160212,1,B-01,도봉로(도봉산역),203959,203959,2228,2419
20160212,1,B-01,도봉로(도봉산역),203959,203959,9023,10449
20160212,1,B-01,도봉로(도봉산역),203959,203959,9276,8718
20160212,1,B-01,도봉로(도봉산역),203959,203959,7772,7882
20160213,1,B-01,도봉로(도봉산역),203959,203959,2694,2938
20160213,1,B-01,도봉로(도봉산역),203959,203959,7372,8175
20160213,1,B-01,도봉로(도봉산역),203959,203959,10002,9766
20160213,1,B-01,도봉로(도봉산역),203959,203959,6189,6435
20160214,1,B-01,도봉로(도봉산역),203959,203959,2122,2472
20160214,1,B-01,도봉로(도봉산역),203959,203959,5316,5791
20160214,1,B-01,도봉로(도봉산역),203959,203959,8465,8882
20160214,1,B-01,도봉로(도봉산역),203959,203959,5188,5339
20160215,1,B-01,도봉로(도봉산역),203959,203959,1680,1903
20160215,1,B-01,도봉로(도봉산역),203959,203959,9709,10943
20160215,1,B-01,도봉로(도봉산역),203959,203959,9334,9093
20160215,1,B-01,도봉로(도봉산역),203959,203959,7385,7929
20160216,1,B-01,도봉로(도봉산역),203959,203959,2595,2330
20160216,1,B-01,도봉로(도봉산역),203959,203959,9107,10246
20160216,1,B-01,도봉로(도봉산역),203959,203959,8485,7909
20160216,1,B-01,도봉로(도봉산역),203959,203959,7035,7144
20160217,1,B-01,도봉로(도봉산역),203959,203959,2269,2303
20160217,1,B-01,도봉로(도봉산역),203959,203959,9561,10952
20160217,1,B-01,도봉로(도봉산역),203959,203959,9630,9271
20160217,1,B-01,도봉로(도봉산역),203959,203959,7910,7907
20160218,1,B-01,도봉로(도봉산역),203959,203959,2382,2610
20160218,1,B-01,도봉로(도봉산역),203959,203959,10022,11071
20160218,1,B-01,도봉로(도봉산역),203959,203959,9440,8944
20160218,1,B-01,도봉로(도봉산역),203959,203959,7766,7903
20160219,1,B-01,도봉로(도봉산역),203959,203959,2403,2693
20160219,1,B-01,도봉로(도봉산역),203959,203959,9725,10901
20160219,1,B-01,도봉로(도봉산역),203959,203959,9444,8986
20160219,1,B-01,도봉로(도봉산역),203959,203959,8608,8275
20160220,1,B-01,도봉로(도봉산역),203959,203959,2945,3207
20160220,1,B-01,도봉로(도봉산역),203959,203959,8224,8789
20160220,1,B-01,도봉로(도봉산역),203959,203959,9108,8757
20160220,1,B-01,도봉로(도봉산역),203959,203959,7214,7296
20160221,1,B-01,도봉로(도봉산역),203959,203959,2300,2641
20160221,1,B-01,도봉로(도봉산역),203959,203959,5909,6411
20160221,1,B-01,도봉로(도봉산역),203959,203959,9253,9316
20160221,1,B-01,도봉로(도봉산역),203959,203959,5837,6022
20160222,1,B-01,도봉로(도봉산역),203959,203959,1818,2046
20160222,1,B-01,도봉로(도봉산역),203959,203959,9882,11265
20160222,1,B-01,도봉로(도봉산역),203959,203959,9601,9023
20160222,1,B-01,도봉로(도봉산역),203959,203959,8326,7791
20160223,1,B-01,도봉로(도봉산역),203959,203959,2200,2602
20160223,1,B-01,도봉로(도봉산역),203959,203959,9472,10838
20160223,1,B-01,도봉로(도봉산역),203959,203959,9535,9049
20160223,1,B-01,도봉로(도봉산역),203959,203959,7987,7879
20160224,1,B-01,도봉로(도봉산역),203959,203959,2315,2618
