C-01,행주대교,183194,183194
C-02,방화대교,184719,184719
C-03,가양대교,187636,187636
C-04,성산대교,190385,190385
C-05,양화대교,191513,191513
C-06,서강대교,193396,193396
C-07,마포대교,194380,194380
C-08,원효대교,195164,195164
C-09,한강대교,196388,196388
C-10,동작대교,198378,198378
C-11,반포대교,199675,199675
C-12,잠수교,200000.318299,200000.318299
C-13,한남대교,201149,201149
C-14,동호대교,201721,201721
C-15,성수대교,203083,203083
C-16,영동대교,205070,205070
C-17,청담대교,205655,205655
C-18,잠실대교,208104,208104
C-19,올림픽대교,209189,209189
C-20,천호대교,209958,209958
C-21,광진교,210180,210180
C-22,강동대교,214266,214266
D-01,진흥로(구기터널),195995.937882,195995.937882
D-02,평창문화로(북악터널),198182.233352,198182.233352
D-03,동호로(금호터널),201186.751155,201186.751155
D-04,서빙고로(한남역),200406,200406
D-05,천호대로(군자교),206060.199166,206060.199166
D-06,뚝섬로(용비교),201813,201813
D-07,동일로(군자교),206209,206209
D-08,화랑로(상월곡역),203909.428342,203909.428342
D-09,동소문로(길음교사거리),201917.236433,201917.236433
D-10,화랑로(화랑대역),207303,207303
D-11,도봉로(쌍문역),202948.26258,202948.26258
D-12,동부간선도로(월계1교),205657,205657
D-13,동일로(노원역),205351.935482,205351.935482
D-14,증산로(디지털미디어시티역),191636.082633,191636.082633
D-15,통일로(산골고개정류장),194715.094302,194715.094302
D-16,성산로(연희IC),193927.891848,193927.891848
D-16-1,성산로(연희IC),193927.891848,193927.891848
D-17,연희로(연희IC),193843,193843
